decision_id,title,agenda_no,meeting_type,decision_type,decision_date,detail_url
10359,,,제 1 소 위 원 회,심의ㆍ의결,,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10359&type=HTML&mobileYn=
10203,「신용정보의 이용 및 보호에 관한 법률 시행령」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2025-223-460호,제 2 소 위 원 회,심의ㆍ의결,2025-12-10,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10203&type=HTML&mobileYn=
10347,,,,심의ㆍ의결,,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10347&type=HTML&mobileYn=
10507,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2025-223-473호,제 2 소 위 원 회,심의ㆍ의결,2025-12-10,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10507&type=HTML&mobileYn=
10201,「주민등록법 시행령」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2025-223-455호,제 2 소 위 원 회,심의ㆍ의결,2025-12-10,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10201&type=HTML&mobileYn=
10209,「경찰공무원 임용령」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2025-223-458호,제 2 소 위 원 회,심의ㆍ의결,2025-12-10,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10209&type=HTML&mobileYn=
10199,「조세특례제한법 시행령」 일부개정안에 대한개인정보 침해요인 평가에 관한 건,제2025-223-461호,제 2 소 위 원 회,심의ㆍ의결,2025-12-10,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10199&type=HTML&mobileYn=
10207,「경찰공무원 임용령 시행규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2025-223-459호,제 2 소 위 원 회,심의ㆍ의결,2025-12-10,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10207&type=HTML&mobileYn=
10361,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2025-026-306호,,심의ㆍ의결,2025-12-10,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10361&type=HTML&mobileYn=
10197,「가축전염병 예방법」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2025-223-457호,제 2 소 위 원 회,심의ㆍ의결,2025-12-10,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10197&type=HTML&mobileYn=
10439,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2025-223-472호,제 2 소 위 원 회,심의ㆍ의결,2025-12-10,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10439&type=HTML&mobileYn=
10205,「주민등록법 시행규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2025-223-456호,제 2 소 위 원 회,심의ㆍ의결,2025-12-10,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10205&type=HTML&mobileYn=
10505,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2025-223-474호,제 2 소 위 원 회,심의ㆍ의결,2025-12-10,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10505&type=HTML&mobileYn=
10403,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2025-223-471호,제 2 소 위 원 회,심의ㆍ의결,2025-12-10,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10403&type=HTML&mobileYn=
10541,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2025-024-300호,,심의ㆍ의결,2025-11-26,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10541&type=HTML&mobileYn=
10305,,,,심의 ㆍ 의결,,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10305&type=HTML&mobileYn=
