decision_id,decision_date,document_category,title,applicant,sanction_strength,sanction_types,monetary_amount,violated_articles,case_type,raw_xml_path
5059,2023-07-26,enforcement,,"에 대하여 다음과 같이 과징금을 부과한다.가. 과 징 금 : 12,500,000원나. 납부기한 : 고지서에 명시된 납부기한 이내다. 납부장소 : 한국은행 국고수납 대리점",4,과징금;과태료,500000000.0,제24조;제29조;제2조;제30조;제33조의4;제34조의2;제40조의2;제5조;제63조;제6조;제75조;제76조;제7조;제8조,유출·침해;동의·고지 위반;안전조치 미흡;민감정보·고유식별정보,/home/bpkim/pipc/data/raw/decisions/5059.xml
5061,2023-07-26,enforcement,,"에 대하여 다음과 같이 과징금을 부과한다.가. 과 징 금 : 16,250,000원나. 납부기한 : 고지서에 명시된 납부기한 이내다. 납부장소 : 한국은행 국고수납 대리점",4,과징금;과태료,500000000.0,제24조;제27조의2;제29조;제2조;제30조;제34조의2;제40조의2;제5조;제63조;제6조;제75조;제76조;제7조;제8조;제9조,유출·침해;동의·고지 위반;안전조치 미흡;민감정보·고유식별정보;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/5061.xml
5063,2023-07-26,enforcement,,"에 대하여 다음과 같이 과징금을 부과한다.가. 과 징 금 : 12,500,000원나. 납부기한 : 고지서에 명시된 납부기한 이내다. 납부장소 : 한국은행 국고수납 대리점",4,과징금;과태료,500000000.0,제24조;제29조;제2조;제30조;제34조의2;제40조의2;제5조;제63조;제6조;제75조;제76조;제7조;제8조,유출·침해;동의·고지 위반;안전조치 미흡;민감정보·고유식별정보,/home/bpkim/pipc/data/raw/decisions/5063.xml
5065,2023-07-26,enforcement,,"에 대하여 다음과 같이 과징금을 부과한다.가. 과 징 금 : 12,500,000원나. 납부기한 : 고지서에 명시된 납부기한 이내다. 납부장소 : 한국은행 국고수납 대리점",4,과징금;과태료,500000000.0,제24조;제29조;제2조;제30조;제34조의2;제40조의2;제5조;제63조;제6조;제75조;제76조;제7조;제8조,유출·침해;동의·고지 위반;안전조치 미흡;민감정보·고유식별정보;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/5065.xml
5067,2023-07-26,enforcement,,"에 대하여 다음과 같이 과징금을 부과한다.가. 과 징 금 : 16,250,000원나. 납부기한 : 고지서에 명시된 납부기한 이내다. 납부장소 : 한국은행 국고수납 대리점",4,과징금;과태료,500000000.0,제24조;제2조;제30조;제34조의2;제40조의2;제5조;제63조;제6조;제75조;제76조;제7조;제8조,유출·침해;동의·고지 위반;안전조치 미흡;민감정보·고유식별정보;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/5067.xml
5069,2023-07-26,enforcement,,,4,과징금;과태료;공표명령,20000000.0,,동의·고지 위반,/home/bpkim/pipc/data/raw/decisions/5069.xml
5071,2023-07-26,enforcement,,"에 대하여 다음과 같이 과징금을 부과한다.가. 과 징 금 : 16,250,000원나. 납부기한 : 고지서에 명시된 납부기한 이내다. 납부장소 : 한국은행 국고수납 대리점",4,과징금;과태료,500000000.0,제24조;제29조;제2조;제30조;제34조의2;제40조의2;제5조;제63조;제6조;제75조;제76조;제7조;제8조,유출·침해;동의·고지 위반;안전조치 미흡;민감정보·고유식별정보;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/5071.xml
5073,2023-07-26,enforcement,,"에 대하여 다음과 같이 과징금을 부과한다.가. 과 징 금 : 16,250,000원나. 납부기한 : 고지서에 명시된 납부기한 이내다. 납부장소 : 한국은행 국고수납 대리점",4,과징금;과태료,500000000.0,제24조;제29조;제2조;제30조;제34조의2;제40조의2;제5조;제63조;제6조;제75조;제76조;제7조;제8조,유출·침해;동의·고지 위반;안전조치 미흡;민감정보·고유식별정보;접근권한·내부통제;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/5073.xml
5075,2023-07-26,enforcement,,,4,과징금;과태료;공표명령,16250000.0,,동의·고지 위반,/home/bpkim/pipc/data/raw/decisions/5075.xml
5081,2023-07-26,enforcement,,,4,과태료;공표명령;개선권고,21600000.0,,동의·고지 위반,/home/bpkim/pipc/data/raw/decisions/5081.xml
5129,2023-07-26,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,(사업자등록번호 : )대표자,4,과태료,3000000.0,제39조의4;제48조의4;제63조;제75조;제7조;제8조,유출·침해;동의·고지 위반,/home/bpkim/pipc/data/raw/decisions/5129.xml
5135,2023-07-26,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,(사업자등록번호 : )대표자,4,과태료;공표명령,3600000.0,제29조;제2조;제48조의2;제4조;제63조;제66조;제75조;제7조;제8조,유출·침해;동의·고지 위반;안전조치 미흡;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/5135.xml
5155,2023-07-26,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,(사업자등록번호 : )대표자,4,과태료,3600000.0,제39조의4;제48조의4;제63조;제75조;제7조;제8조,유출·침해;동의·고지 위반,/home/bpkim/pipc/data/raw/decisions/5155.xml
5627,2023-07-26,enforcement,개인정보보호 법규 위반행위에 대한 시정조치 등에 관한 건,,4,과징금,70.0,제10조;제10조의2;제12조;제19조;제22조;제23조;제26조의2;제2조;제3조;제4조;제5조;제64조의3;제8조,유출·침해;동의·고지 위반;보유기간·파기 위반;민감정보·고유식별정보;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/5627.xml
5629,2023-07-26,enforcement,개인정보보호 법규 위반행위에 대한 시정조치 등에 관한 건,,4,과징금,70.0,제10조;제10조의2;제12조;제19조;제22조;제23조;제26조의2;제2조;제3조;제4조;제5조;제60조;제64조의3;제7조의8;제7조의9;제8조,유출·침해;동의·고지 위반;목적 외 이용;보유기간·파기 위반;민감정보·고유식별정보;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/5629.xml
5631,2023-07-26,enforcement,개인정보보호 법규 위반행위에 대한 고발조치에 관한 건,,3,고발,,제59조,유출·침해;동의·고지 위반;민감정보·고유식별정보;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/5631.xml
6027,2023-07-26,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,학교법인 가톨릭학원(법인등록번호 : - ) 대표자,4,과태료;공표명령;개선권고,21600000.0,제18조;제23조;제29조;제2조;제30조;제5조;제61조;제63조;제66조;제75조;제7조;제8조,유출·침해;동의·고지 위반;안전조치 미흡;민감정보·고유식별정보,/home/bpkim/pipc/data/raw/decisions/6027.xml
6029,2023-07-26,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,학교법인 연세대학교(법인등록번호 : - ) 대표자,4,과태료;공표명령;개선권고,7200000.0,제18조;제23조;제29조;제2조;제30조;제5조;제61조;제63조;제66조;제75조;제7조;제8조,유출·침해;동의·고지 위반;안전조치 미흡;민감정보·고유식별정보,/home/bpkim/pipc/data/raw/decisions/6029.xml
6033,2023-07-26,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,학교법인 고려중앙학원(법인등록번호 : - ) 대표자,4,과태료;공표명령;개선권고,10800000.0,제11조;제18조;제23조;제29조;제2조;제30조;제5조;제61조;제63조;제66조;제75조;제7조;제8조,유출·침해;동의·고지 위반;안전조치 미흡;민감정보·고유식별정보,/home/bpkim/pipc/data/raw/decisions/6033.xml
