law_name,count
119긴급신고의 관리 및 운영에 관한 법률 시행규칙,2
하도급거래 공정화에 관한 법률 시행령,2
119긴급신고의 관리 및 운영에 관한 법률 시행령,2
군인징계령 시행규칙,2
중부내륙연계발전지역 지원에 관한 특별법 시행령,2
군인징계령,2
노후계획도시 정비 및 지원에 관한 특별법 시행규칙,2
호스피스 완화의료 및 임종과정에 있는 환자의 연명의료결정에 관한 법률 시행규칙,2
성매개감염병 및 후천성면역결핍증 건강진단규칙,2
미래자동차 부품산업의 전환촉진 및 생태계 육성에 관한 특별법 시행규칙,2
수상에서의 수색ㆍ구조 등에 관한 법률,2
자연재해대책법 시행규칙,2
시설물의 안전 및 유지관리에 관한 특별법 시행규칙,2
위기 임신 및 보호출산 지원과 아동 보호에 관한 특별법 시행령,2
위기 임신 및 보호출산 지원과 아동 보호에 관한 특별법 시행규칙,2
독립유공자 예우에 관한 법률,2
검역법 시행령,2
근로기준법 시행규칙,2
고용보험 및 산업재해보상보험의 보험료 징수 등에 관한 법률 시행규칙,2
식품 등의 표시ㆍ광고에 관한 법률 시행규칙,2
달빛철도 건설을 위한 특별법 시행령,2
개인정보 침해요인 개선을 위한 5개 법령,2
건축물의 구조기준 등에 관한 규칙,2
달빛철도 건설을 위한 특별법 시행규칙,2
궤도운송법 시행규칙,2
교통안전법 시행령,2
건축물 에너지효율등급 인증 및 제로에너지건축물 인증에 관한 규칙,2
남북 이산가족 생사확인 및 교류촉진에 관한 법률 시행령,2
에너지법 시행규칙,2
보험사기방지 특별법 시행령,2
기부금품의 모집 및 사용에 관한 법률 시행령,2
조달사업에 관한 법률 시행령,2
재해구호법 시행규칙,2
조달사업에 관한 법률 시행규칙,2
군 장려금 지급 규칙,2
부정경쟁방지 및 영업비밀보호에 관한 법률 시행령,2
선원법 시행령,2
원양산업발전법 시행규칙,2
어선원 및 어선 재해보상보험법 시행령,2
장애영유아를 위한 어린이집의 운영등에 관한 규칙,2
공익신고자 보호법 시행령,2
귀농어ㆍ귀촌 활성화 및 지원에 관한 법률 시행령,2
산림조합법 시행규칙,2
고위험 성폭력범죄자의 거주지 제한 등에 관한 법률,2
무형문화재 보전 및 진흥에 관한 법률 시행규칙,2
농촌공간 재구조화 및 재생지원에 관한 법률 시행규칙,2
상호저축은행법 시행규칙,2
농촌공간 재구조화 및 재생지원에 관한 법률 시행령,2
인감증명법 시행령,2
기업구조조정 촉진법 시행령,2
농지법 시행령,2
기능성 양잠산업 육성 및 지원에 관한 법률 시행규칙,2
가맹사업거래의 공정화에 관한 법률 시행령,2
농약관리법 시행규칙,2
아동학대범죄의 처벌 등에 관한 특례법,2
스토킹범죄의 처벌 등에 관한 법률,2
특정강력범죄의 처벌 등에 관한 특례법,2
한국마사회법 시행규칙,2
치유농업 연구개발 및 육성에 관한 법률 시행령,2
치유농업 연구개발 및 육성에 관한 법률 시행규칙,2
112신고의 운영 및 처리에 관한 법률 시행령,2
전통문화산업 진흥법 시행령,2
전통문화산업 진흥법 시행규칙,2
승강기산업 진흥법 시행규칙,2
승강기산업 진흥법 시행령,2
농촌 지역 공동체 기반 경제ㆍ사회 서비스 활성화에 관한 법률 시행령,2
취업 후 학자금 상환 특별법 시행령,2
어선법,2
재난 및 안전관리 기본법 시행규칙,2
실험동물에 관한 법률 시행규칙,2
농촌 지역 공동체 기반 경제ㆍ사회 서비스 활성화에 관한 법률 시행규칙,2
대기관리권역의 대기환경개선에 관한 특별법 시행령,2
산업재산 정보의 관리 및 활용 촉진에 관한 법률 시행령,2
산업재산 정보의 관리 및 활용 촉진에 관한 법률 시행규칙,2
개의 식용목적의 사육ㆍ도살 및 유통 등 종식에 관한 특별법 시행령,2
취업 후 학자금 상환 특별법 시행규칙,2
임금채권보장법 시행령,2
대기관리권역의 대기환경개선에 관한 특별법 시행규칙,2
규제자유특구 및 지역특화발전특구에 관한 규제특례법 시행규칙,2
국민보호와 공공안전을 위한 테러방지법 시행규칙,2
우체국창구업무의 위탁에 관한 법률 시행규칙,2
장애인활동 지원에 관한 법률 시행규칙,2
초고층 및 지하연계 복합건축물 재난관리에 관한 특별법 시행령,2
이동통신단말장치 유통구조 개선에 관한 법률 시행령,2
애니메이션 산업 진흥에 관한 법률 시행규칙,2
미술진흥법 시행령,2
국악진흥법 시행령,2
국악진흥법 시행규칙,2
방위사업법 시행령,2
건설기술 진흥법 시행령,2
초고층 및 지하연계 복합건축물 재난관리에 관한 특별법 시행규칙,2
국가기술자격법 시행규칙,2
해양수산과학기술 육성법 시행규칙,2
해양수산과학기술 육성법 시행령,2
시국사건관련 임용제외 교원의 피해회복을 위한 조치에 관한 특별법 시행령,2
스마트농업 육성 및 지원에 관한 법률 시행령,2
사할린동포 지원에 관한 특별법 시행령,2
스마트농업 육성 및 지원에 관한 법률 시행규칙,2
사할린동포 지원에 관한 특별법 시행규칙,2
해양수산부 소관 친환경농어업 육성 및 유기식품 등의 관리ㆍ지원에 관한 법률 시행규칙,2
한국인 원자폭탄 피해자 지원을 위한 특별법 시행령,2
외교부장관의 소속청장에 대한 지휘 등에 관한 규칙,2
벤처기업육성에 관한 특별조치법 시행규칙,2
보건의료기본법 시행령,2
기초연금법 시행규칙,2
정보통신 공사업법 시행규칙,2
소상공인 보호 및 지원에 관한 법률 시행규칙,2
보건의료기술진흥법 시행령,2
발달장애인 권리보장 및 지원에 관한 법률 시행규칙,2
장사 등에 관한 법률 시행령,2
독립유공자예우에 관한 법률,2
한국도로교통공단법 시행령,2
경비업법 시행령,2
법인 아닌 사단ㆍ재단 및 외국인의 부동산등기용 등록번호 부여절차에 관한 규정,2
지방공무원 징계 및 소청규정,2
농업ㆍ농촌 및 식품산업 기본법 시행령,2
해양재난구조대의 설치 및 운영에 관한 법률 시행령 및 시행규칙,2
공항시설법 시행규칙,2
기업도시개발 특별법 시행규칙,2
국제항공 탄소 배출량 관리에 관한 법률 시행규칙,2
물순환 촉진 및 지원에 관한 법률 시행규칙,2
물순환 촉진 및 지원에 관한 법률 시행령,2
국제조세조정에 관한 법률,2
통신비밀보호법 시행령,2
해외농업ㆍ산림자원 개발협력법 시행규칙,2
장애인고용촉진 및 직업재활법,2
해외농업ㆍ산림자원 개발협력법 시행령,2
농어촌정비법,2
연구개발특구의 육성에 관한 특별법 시행령,2
세무사법,2
과세자료의 제출 및 관리에 관한 법률,2
환경분쟁 조정법 시행령,2
환경분쟁 조정법 시행규칙,2
석면피해구제법 시행령,2
석면피해구제법 시행규칙,2
실종아동등의 보호 및 지원에 관한 법률 시행령,2
녹색제품 구매촉진에 관한 법률 시행규칙,2
근현대문화유산의 보존 및 활용에 관한 법률 시행령,2
근현대문화유산의 보존 및 활용에 관한 법률 시행규칙,2
손상 예방 및 관리에 관한 법률 시행령,2
농어촌 등 보건의료를 위한 특별조치법 시행규칙,2
공공재정 부정청구 금지 및 부정이익 환수 등에 관한 법률 시행령,2
공직자 등의 병역사항 신고 및 공개에 관한 법률 시행령,2
손상 예방 및 관리에 관한 법률 시행규칙,2
주차장법 시행규칙,2
목재의 지속가능한 이용에 관한 법률 시행령,2
목재의 지속가능한 이용에 관한 법률 시행규칙,2
전자상거래 등에서의 소비자보호에 관한 법률,2
방문판매 등에 관한 법률 시행령,2
수목원ㆍ정원의 조성 및 진흥에 관한 법률 시행규칙,2
국유림의 경영 및 관리에 관한 법률 시행규칙,2
세계유산의 보존ㆍ관리 및 활용에 관한 특별법 시행령,2
치료감호 등에 관한 법률,2
자율운항선박의 안전 운항에 관한 규칙,2
생명연구자원의 확보ㆍ관리 및 활용에 관한 법률 시행규칙,2
가상융합산업 진흥법 시행령,2
문화유산의 보존 및 활용에 관한 법률 시행령,2
경찰착용기록장치 운영 등에 관한 규정,2
경찰공무원 등 개인정보 처리에 관한 규정,2
가상융합산업 진흥법 시행규칙,2
소방시설 설치 및 관리에 관한 법률 시행규칙,2
영유아보육법 시행규칙,2
사립학교교직원 연금법 시행령,2
자연재난 구호 및 복구 비용 부담기준 등에 관한 규정,2
기후ㆍ기후변화 감시 및 예측 등에 관한 법률 시행령,2
집단에너지사업법 시행령,2
물환경보전법 시행규칙,2
디지털의료제품법 시행규칙,2
고도 보존 및 육성에 관한 특별법 시행규칙,2
토양환경보전법 시행규칙,2
의료기사 등에 관한 법률 시행규칙,2
행정기본법 시행령,2
사회서비스 이용 및 이용권 관리에 관한 법률 시행령,2
사회서비스 이용 및 이용권 관리에 관한 법률 시행규칙,2
우체국 예금ㆍ보험에 관한 법률 시행령,2
온실가스 배출권의 할당 및 거래에 관한 법률 시행령,2
노인 일자리 및 사회활동 지원에 관한 법률 시행규칙,2
녹색건축물 조성 지원법 시행령,2
난민법 시행령,2
난민법 시행규칙,2
계량에 관한 법률 시행규칙,2
사행산업통합감독위원회법 시행령,2
해양이용영향평가법 시행령,2
그린바이오산업 육성에 관한 법률 시행령,2
해양이용영향평가법 시행규칙,2
그린바이오산업 육성에 관한 법률 시행규칙,2
자동차등록규칙,2
공무원고충처리규정,2
어선안전조업법 시행규칙,2
어선안전조업법 시행령,2
범죄피해자 보호법 시행규칙,2
전기산업발전기본법 시행령,2
이산화탄소 포집ㆍ수송ㆍ저장 및 활용에 관한 법률 시행령,2
광산안전법 시행규칙,2
이산화탄소 포집ㆍ수송ㆍ저장 및 활용에 관한 법률 시행규칙,2
첨단산업 인재혁신 특별법 시행규칙,2
소방공무원 복무규정,2
첨단산업 인재혁신 특별법 시행령,2
남녀고용평등과 일ㆍ가정 양립지원에 관한 법률 시행규칙,2
남녀고용평등과 일ㆍ가정 양립지원에 관한 법률 시행령,2
도심 복합개발 지원에 관한 법률 시행규칙,2
도심 복합개발 지원에 관한 법률 시행령,2
교통약자의 이동편의 증진법 시행규칙,2
정신건강증진 및 정신질환자 복지서비스 지원에 관한 법률 시행규칙,2
보건의료기술 진흥법 시행령,2
첨단재생의료 및 첨단바이오의약품 안전 및 지원에 관한 법률 시행령,2
한국국토정보공사법 시행령,2
첨단재생의료 안전 및 지원에 관한 규칙,2
교통약자의 이동편의 증진법 시행령,2
산업안전보건법 시행령,2
군 사망사고 진상규명에 관한 특별법 시행령,2
군무원인사법 시행령,2
점자법 시행령,2
아동학대범죄의 처벌 등에 관한 특례법 시행령,2
환경기술 및 환경산업 지원법 시행령,2
민방위기본법 시행령,2
양육비 이행확보 및 지원에 관한 법률 시행규칙,2
대중문화예술산업발전법 시행령,2
대통령 등의 경호에 관한 법률 시행령,2
환경기술 및 환경산업 지원법 시행규칙,2
행정사법 시행규칙,1
행정사법,1
지하수법 시행령 및 시행규칙,1
국가기간 전력망 확충 특별법 시행규칙,1
항공기등록규칙,1
해양에서 발생한 재난의 긴급구조활동 평가에 관한규칙,1
소청절차규정,1
부동산투자회사법 시행규칙,1
부동산투자회사법 시행령,1
푸드테크산업 육성에 관한 법률 시행규칙,1
